Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,12514G108,CDW ,"1,661,386","218,056,912.50",0.148,CDW Corp/DE,Common Stock,Information Technology,12/03/2020
QQQ,89677Q107,TCOM ,"6,090,023","214,490,610.06",0.145,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,12/03/2020
QQQ,45337C102,INCY ,"2,546,768","211,127,067.20",0.143,Incyte Corp,Common Stock,Health Care,12/03/2020
QQQ,30212P303,EXPE ,"1,580,210","201,239,743.50",0.136,Expedia Group Inc,Common Stock,Consumer Discretionary,12/03/2020
QQQ,M22465104,CHKP ,"1,632,634","195,524,247.84",0.133,Check Point Software Technologies Ltd,Common Stock,Information Technology,12/03/2020
QQQ,90384S303,ULTA ,"655,769","189,864,798.57",0.129,Ulta Beauty Inc,Common Stock,Consumer Discretionary,12/03/2020
QQQ,177376100,CTXS ,"1,438,538","183,945,854.06",0.125,Citrix Systems Inc,Common Stock,Information Technology,12/03/2020
QQQ,09061G101,BMRN ,"2,111,869","167,048,837.90",0.113,BioMarin Pharmaceutical Inc,Common Stock,Health Care,12/03/2020
QQQ,35137L105,FOXA ,"4,002,126","121,344,460.32",0.082,Fox Corp,Common Stock,Communication Services,12/03/2020
QQQ,G5480U120,LBTYK ,"4,644,153","109,323,361.62",0.074,Liberty Global PLC,Common Stock,Communication Services,12/03/2020
QQQ,35137L204,FOX ,"3,040,242","90,508,004.34",0.061,Fox Corp,Common Stock,Communication Services,12/03/2020
QQQ,G5480U104,LBTYA ,"2,122,554","51,790,317.60",0.035,Liberty Global PLC,Common Stock,Communication Services,12/03/2020
